                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                  6e-05,                    0.5,                      1,                0.06251,             0.00014851,             0.00014851,             0.00014851
                     67,                  6e-05,                0.54167,                      1,                 0.0616,             0.00013968,             0.00013968,             0.00013968
                     68,                 0.0001,                 0.5625,                      1,                 0.0613,             0.00013084,             0.00013084,             0.00013084
                     69,                  7e-05,                    0.5,                      1,                0.06219,               0.000122,               0.000122,               0.000122
                     70,                  5e-05,                0.58333,                      1,                0.06082,             0.00011317,             0.00011317,             0.00011317
                     71,                  8e-05,                0.52083,                      1,                0.06193,             0.00010433,             0.00010433,             0.00010433
                     72,                  8e-05,                0.54167,                      1,                0.06085,             9.5498e-05,             9.5498e-05,             9.5498e-05
                     73,                  6e-05,                    0.5,                      1,                0.06162,             8.6662e-05,             8.6662e-05,             8.6662e-05
                     74,                  8e-05,                0.54167,                      1,                0.06041,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     75,                  5e-05,                    0.5,                      1,                 0.0622,              6.899e-05,              6.899e-05,              6.899e-05
                     76,                  6e-05,                0.54167,                      1,                0.06141,             6.0154e-05,             6.0154e-05,             6.0154e-05
                     77,                  6e-05,                    0.5,                      1,                 0.0636,             5.1319e-05,             5.1319e-05,             5.1319e-05
                     78,                  7e-05,                0.52083,                      1,                0.06236,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     79,                  9e-05,                 0.5625,                      1,                0.06007,             3.3647e-05,             3.3647e-05,             3.3647e-05
                     80,                  7e-05,                0.54167,                      1,                0.06195,             2.4812e-05,             2.4812e-05,             2.4812e-05
