                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2796,                 7.4467,                 3.3088,                 1.5184,                 0.0041,                      1,                0.14386,                0.10056,                      0,                      0,                      0,                      0,                  1.202,                 5.1815,                 3.3929,                 1.9343,             0.00015003,             0.00015003,             0.00015003
                      2,                 1.3232,                 6.7462,                 3.2108,                 1.5666,                0.00295,                  0.875,                 0.1525,                0.10711,                      0,                      0,                      0,                      0,                 1.4419,                 5.1864,                 3.3899,                 2.2908,             0.00030889,             0.00030889,             0.00030889
                      3,                 1.3042,                 5.6244,                 3.1768,                 1.6715,                0.00339,                      1,                0.05164,                0.01654,                0.00205,                  0.375,                0.01222,                0.00234,                 1.8233,                 5.1826,                 4.0394,                 2.6807,              0.0004595,              0.0004595,              0.0004595
                      4,                 1.3466,                  5.311,                 3.1047,                 1.6775,                0.00263,                  0.875,                0.21417,                0.06015,                0.00263,                  0.875,                0.01515,                0.00351,                 1.9572,                 5.1817,                 3.3816,                 3.2492,             0.00060186,             0.00060186,             0.00060186
                      5,                 1.0683,                 4.8676,                    2.9,                 1.5216,                0.00263,                  0.875,                0.21417,                0.06015,                0.00263,                  0.875,                0.01515,                0.00351,                 1.9572,                 5.1817,                 3.3816,                 3.2492,             0.00073596,             0.00073596,             0.00073596
                      6,                 1.0527,                 4.1762,                  2.745,                 1.4711,                 0.0034,                  0.875,                 0.3325,                0.10025,                 0.0029,                  0.375,                  0.068,                0.01426,                 2.0049,                 5.0786,                 3.2232,                 3.5003,             0.00086182,             0.00086182,             0.00086182
                      7,                 1.4034,                 3.8393,                 2.7509,                 1.6365,                 0.0034,                  0.875,                 0.3325,                0.10025,                 0.0029,                  0.375,                  0.068,                0.01426,                 2.0049,                 5.0786,                 3.2232,                 3.5003,             0.00097942,             0.00097942,             0.00097942
                      8,                  1.276,                 3.7269,                  2.786,                 1.5623,                0.91681,                0.72155,                 0.7695,                0.46633,                0.91681,                0.72155,                0.82031,                0.45954,                 1.6049,                 3.6515,                 3.3616,                   2.58,              0.0010888,              0.0010888,              0.0010888
                      9,                 1.3296,                 3.2506,                 3.0457,                 1.6859,                0.91681,                0.72155,                 0.7695,                0.46633,                0.91681,                0.72155,                0.82031,                0.45954,                 1.6049,                 3.6515,                 3.3616,                   2.58,              0.0011899,              0.0011899,              0.0011899
                     10,                 1.1896,                 3.1991,                 2.8439,                 1.5518,                0.91681,                0.72155,                 0.7695,                0.46633,                0.91681,                0.72155,                0.82031,                0.45954,                 1.6049,                 3.6515,                 3.3616,                   2.58,              0.0012827,              0.0012827,              0.0012827
                     11,                 1.4715,                 3.0899,                 3.2147,                  1.898,                0.91681,                0.72155,                 0.7695,                0.46633,                0.91681,                0.72155,                0.82031,                0.45954,                 1.6049,                 3.6515,                 3.3616,                   2.58,              0.0012544,              0.0012544,              0.0012544
                     12,                 1.4917,                   3.17,                 2.8855,                 1.6552,                0.90833,                    0.5,                0.53008,                0.30991,                0.90833,                    0.5,                0.53373,                0.31119,                 1.9439,                 3.2542,                 5.0601,                 2.6844,              0.0012544,              0.0012544,              0.0012544
                     13,                 1.3863,                 3.1934,                 2.7609,                 1.5582,                0.90833,                    0.5,                0.53008,                0.30991,                0.90833,                    0.5,                0.53373,                0.31119,                 1.9439,                 3.2542,                 5.0601,                 2.6844,              0.0012132,              0.0012132,              0.0012132
                     14,                 1.4685,                 2.8503,                 3.3552,                 1.6937,                0.90833,                    0.5,                0.53008,                0.30991,                0.90833,                    0.5,                0.53373,                0.31119,                 1.9439,                 3.2542,                 5.0601,                 2.6844,              0.0011719,              0.0011719,              0.0011719
                     15,                 1.6432,                  3.267,                 3.3255,                 1.8672,                0.13326,                   0.75,                0.18886,                0.12814,                0.14271,                  0.875,                0.20269,                0.12501,                  1.866,                 3.0712,                 5.4518,                 2.4876,              0.0011306,              0.0011306,              0.0011306
                     16,                 1.5195,                 3.1184,                 2.7342,                 1.6935,                0.13326,                   0.75,                0.18886,                0.12814,                0.14271,                  0.875,                0.20269,                0.12501,                  1.866,                 3.0712,                 5.4518,                 2.4876,              0.0010894,              0.0010894,              0.0010894
                     17,                 1.4046,                 2.8782,                 2.6143,                 1.6131,                0.13326,                   0.75,                0.18886,                0.12814,                0.14271,                  0.875,                0.20269,                0.12501,                  1.866,                 3.0712,                 5.4518,                 2.4876,              0.0010481,              0.0010481,              0.0010481
                     18,                 1.3854,                 2.6993,                 2.7831,                 1.7688,                0.34353,                      1,                0.72125,                 0.3712,                0.34353,                      1,                0.72125,                0.38238,                 1.7565,                 2.8008,                 3.2214,                 2.5377,              0.0010069,              0.0010069,              0.0010069
                     19,                 1.3867,                  3.002,                 2.5889,                 1.6274,                0.34353,                      1,                0.72125,                 0.3712,                0.34353,                      1,                0.72125,                0.38238,                 1.7565,                 2.8008,                 3.2214,                 2.5377,             0.00096561,             0.00096561,             0.00096561
