                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.88782,                 1.3949,                0.83326,                 1.2343,                0.66208,                0.78383,                0.80312,                0.54893,                0.88176,                   0.55,                 0.7435,                0.47208,                 1.1148,                 2.2229,                 1.2411,                 1.5889,              0.0015644,              0.0015644,              0.0015644
                     25,                0.85614,                 1.3781,                0.76829,                 1.2109,                0.95102,                  0.971,                0.98059,                0.72719,                0.95102,                  0.971,                0.98059,                0.73545,                  0.892,                 1.3844,                0.70165,                 1.3015,              0.0015446,              0.0015446,              0.0015446
                     26,                0.82986,                 1.3753,                0.74951,                 1.1973,                0.97428,                0.94699,                0.97119,                0.72887,                0.97428,                0.94699,                 0.9759,                0.75408,                 0.9066,                 1.2882,                0.71842,                 1.3461,              0.0015248,              0.0015248,              0.0015248
                     27,                0.81575,                 1.3028,                0.75502,                 1.2251,                0.94993,                      1,                 0.9933,                0.79526,                0.94993,                      1,                 0.9933,                0.78234,                0.79276,                 1.2135,                 0.5671,                 1.2437,               0.001505,               0.001505,               0.001505
                     28,                0.82662,                 1.4278,                0.73211,                 1.2029,                      1,                0.94511,                0.99127,                0.79859,                      1,                0.94511,                0.99127,                0.79082,                0.75353,                 1.2678,                0.63323,                 1.2096,              0.0014852,              0.0014852,              0.0014852
                     29,                0.84638,                  1.377,                0.74184,                  1.183,                0.99922,                  0.975,                0.99405,                0.74237,                0.96944,                   0.95,                0.98009,                0.71904,                0.87906,                 1.4473,                0.63957,                 1.3064,              0.0014654,              0.0014654,              0.0014654
                     30,                0.89414,                  1.465,                 0.7337,                 1.2694,                0.94923,                   0.95,                0.97404,                0.76475,                0.94923,                   0.95,                0.97404,                0.76428,                0.92845,                  1.352,                0.62576,                 1.4093,              0.0014456,              0.0014456,              0.0014456
                     31,                0.81359,                 1.4178,                0.72864,                 1.1836,                0.92677,                0.94915,                0.96937,                0.78455,                0.92677,                0.94915,                0.96937,                0.75075,                 0.7983,                 1.4103,                0.64384,                 1.2615,              0.0014258,              0.0014258,              0.0014258
                     32,                0.84841,                  1.381,                0.71134,                 1.2272,                0.99555,                   0.95,                0.99058,                0.81701,                0.99555,                   0.95,                0.99058,                0.77762,                0.75146,                 1.2926,                0.55353,                 1.2167,               0.001406,               0.001406,               0.001406
                     33,                0.85257,                 1.3228,                0.77116,                 1.2198,                0.90523,                0.95531,                0.97902,                0.76934,                0.88172,                0.93197,                 0.9749,                0.75648,                0.82324,                 1.3145,                 0.6551,                  1.215,              0.0013862,              0.0013862,              0.0013862
                     34,                0.82361,                 1.3177,                0.70178,                 1.2062,                0.99372,                  0.975,                0.98513,                0.76677,                0.99372,                  0.975,                0.98513,                0.76311,                0.80599,                 1.2271,                0.57987,                 1.2329,              0.0013664,              0.0013664,              0.0013664
