                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 0.9721,                  1.502,                 1.8154,                 1.3107,                0.55295,                0.92593,                0.68582,                0.45569,                0.55295,                0.92593,                0.68582,                0.49709,                0.96031,                 1.3015,                 1.7131,                 1.3838,                0.00104,                0.00104,                0.00104
                     25,                 1.1092,                 1.6242,                 1.8293,                 1.3503,                0.62226,                0.85376,                0.76274,                0.48644,                0.62226,                0.85376,                0.76274,                0.48087,                0.97551,                 1.4186,                 1.8012,                 1.3508,              0.0010223,              0.0010223,              0.0010223
                     26,                0.96082,                 1.5427,                 1.8869,                 1.2857,                0.52051,                0.84142,                0.68693,                0.50454,                0.52051,                0.84142,                0.68693,                0.46184,                 1.0039,                 1.5889,                 1.8541,                 1.3966,              0.0010046,              0.0010046,              0.0010046
                     27,                0.97904,                 1.5822,                 1.7755,                 1.2856,                 0.6393,                0.83258,                0.73255,                0.52802,                 0.6393,                0.83258,                0.73286,                0.56252,                 1.0338,                 1.4897,                 1.8111,                 1.4314,              0.0009869,              0.0009869,              0.0009869
                     28,                 0.9807,                 1.5064,                   1.74,                 1.2959,                0.56106,                0.76103,                0.70307,                0.50169,                0.56106,                0.76103,                0.70307,                0.53295,                 1.0282,                 1.4002,                 1.8411,                 1.4248,             0.00096922,             0.00096922,             0.00096922
                     29,                0.97588,                 1.5447,                 1.7403,                 1.2995,                0.51354,                0.93266,                0.71576,                  0.558,                0.56697,                0.93266,                0.70546,                 0.5587,                 1.0218,                 1.4265,                 1.6732,                 1.5216,             0.00095154,             0.00095154,             0.00095154
                     30,                0.97746,                 1.5711,                  1.723,                 1.3084,                0.55716,                0.85187,                0.71275,                 0.5229,                0.55716,                0.85187,                0.71275,                0.53479,                 1.0776,                  1.498,                 1.7045,                 1.5447,             0.00093385,             0.00093385,             0.00093385
                     31,                0.93327,                  1.436,                 2.0659,                 1.2643,                0.55549,                0.84711,                0.71622,                0.52985,                0.54562,                0.80596,                0.69544,                0.55355,                0.93771,                 1.4814,                 1.7803,                 1.4143,             0.00091617,             0.00091617,             0.00091617
                     32,                0.87345,                  1.271,                 1.6624,                 1.2029,                0.43581,                0.85415,                0.61219,                0.43687,                 0.4239,                0.81546,                0.59502,                0.42936,                0.86829,                 1.6567,                 1.7596,                 1.2985,             0.00089848,             0.00089848,             0.00089848
                     33,                0.87977,                 1.4186,                 1.6881,                 1.2211,                0.46236,                0.82155,                0.63642,                 0.4573,                0.45343,                0.78451,                0.62244,                0.45629,                0.87975,                 1.6332,                 1.6661,                 1.2586,              0.0008808,              0.0008808,              0.0008808
                     34,                0.82307,                 1.3485,                 1.5649,                  1.208,                0.38779,                0.82818,                0.62668,                0.49084,                0.38779,                0.82818,                0.62668,                0.48165,                0.79451,                 1.3351,                 1.5574,                 1.1892,             0.00086312,             0.00086312,             0.00086312
                     35,                0.84295,                  1.235,                 1.6234,                 1.2451,                0.39982,                0.91178,                0.64607,                 0.4934,                0.39982,                0.91178,                0.64607,                0.50174,                0.83636,                 1.3505,                 1.5319,                 1.2096,             0.00084543,             0.00084543,             0.00084543
                     36,                0.87218,                 1.3705,                 1.6081,                 1.2395,                 0.3895,                0.81979,                0.57621,                0.41811,                0.38904,                0.81349,                0.57463,                0.44701,                0.87644,                 1.2547,                  1.623,                  1.291,             0.00082775,             0.00082775,             0.00082775
                     37,                0.85295,                 1.3089,                 1.5285,                 1.1856,                0.38262,                0.96432,                0.59546,                0.41541,                0.37214,                0.90624,                  0.589,                0.46519,                 0.8565,                 1.2236,                 1.6346,                 1.3113,             0.00081006,             0.00081006,             0.00081006
                     38,                 0.8359,                 1.2885,                 1.5792,                   1.16,                0.42983,                0.86532,                0.59772,                0.45277,                0.42983,                0.86532,                0.59772,                0.44962,                0.86152,                 1.3528,                 1.7597,                 1.3061,             0.00079238,             0.00079238,             0.00079238
                     39,                0.88093,                  1.439,                 1.6197,                 1.2235,                0.43018,                      1,                0.65901,                0.48595,                0.43018,                      1,                0.65901,                0.47667,                0.88202,                 1.4284,                 1.4992,                 1.3308,              0.0007747,              0.0007747,              0.0007747
                     40,                0.82692,                  1.237,                 1.5076,                 1.1814,                0.52319,                0.86273,                0.66579,                0.50959,                0.52319,                0.86273,                0.66579,                0.50129,                0.81593,                 1.3502,                 1.4867,                 1.2251,             0.00075701,             0.00075701,             0.00075701
                     41,                0.84508,                 1.3539,                 1.5416,                 1.1862,                0.62743,                0.82902,                 0.6939,                 0.5477,                0.62743,                0.82902,                 0.6939,                0.53835,                0.75571,                 1.2616,                 1.4368,                 1.1866,             0.00073933,             0.00073933,             0.00073933
                     42,                0.81245,                  1.269,                 1.6137,                 1.1413,                0.62093,                0.68419,                0.65561,                0.53242,                0.62093,                0.68419,                0.65323,                0.51172,                0.77077,                 1.3078,                  1.372,                 1.1889,             0.00072164,             0.00072164,             0.00072164
                     43,                0.76939,                  1.205,                 1.4275,                 1.1419,                0.38332,                0.82519,                0.62059,                0.47032,                0.38332,                0.82519,                0.61564,                0.46487,                0.86415,                 1.4001,                 1.4711,                 1.2492,             0.00070396,             0.00070396,             0.00070396
                     44,                0.79696,                 1.2992,                 1.4227,                 1.1412,                 0.4486,                0.79125,                0.60811,                0.46935,                 0.4486,                0.79125,                0.60573,                0.46587,                0.80678,                 1.3963,                 1.4761,                 1.2142,             0.00068628,             0.00068628,             0.00068628
                     45,                0.79731,                 1.3169,                 1.4961,                 1.1781,                 0.4428,                 0.9697,                0.64791,                0.52113,                 0.4428,                 0.9697,                0.64791,                0.51367,                0.76015,                 1.3947,                 1.3872,                 1.2128,             0.00066859,             0.00066859,             0.00066859
                     46,                0.81783,                 1.2167,                 1.4951,                 1.1885,                0.47256,                0.97604,                0.66185,                0.53317,                0.47256,                0.97604,                0.66185,                0.50622,                0.73432,                 1.3829,                 1.3712,                 1.2081,             0.00065091,             0.00065091,             0.00065091
                     47,                0.80877,                 1.2947,                 1.5234,                 1.1507,                0.67846,                0.92945,                 0.7584,                 0.5849,                0.67846,                0.92945,                 0.7584,                0.58957,                0.78116,                 1.4557,                 1.4108,                 1.2334,             0.00063323,             0.00063323,             0.00063323
                     48,                0.83978,                 1.2431,                 1.4663,                  1.188,                0.68674,                0.93134,                0.79673,                0.64915,                0.68674,                0.93134,                0.79673,                0.62507,                0.78771,                 1.3574,                 1.3572,                 1.2042,             0.00061554,             0.00061554,             0.00061554
                     49,                0.72951,                 1.1646,                 1.4169,                 1.1126,                0.71291,                0.88177,                0.78504,                0.57289,                0.71291,                0.88177,                0.78504,                0.57192,                0.78849,                 1.3829,                 1.3699,                 1.1964,             0.00059786,             0.00059786,             0.00059786
                     50,                0.73482,                   1.19,                 1.4302,                 1.1477,                 0.4792,                0.89292,                0.68515,                 0.4926,                 0.4792,                0.89292,                0.68515,                0.47085,                0.85008,                 1.3967,                 1.4768,                 1.2098,             0.00058017,             0.00058017,             0.00058017
                     51,                0.80518,                 1.2945,                 1.4124,                 1.1789,                0.51666,                0.69126,                0.68851,                0.49085,                0.51666,                0.69126,                0.68851,                0.47068,                0.88882,                 1.4473,                 1.4697,                 1.2432,             0.00056249,             0.00056249,             0.00056249
                     52,                0.80838,                 1.2861,                  1.438,                 1.2101,                0.46305,                0.91798,                0.67834,                0.50752,                 0.4501,                0.87695,                0.64946,                0.50665,                0.83654,                 1.4848,                 1.3788,                 1.2091,             0.00054481,             0.00054481,             0.00054481
                     53,                 0.8036,                 1.2525,                 1.3633,                 1.1909,                0.45951,                0.86532,                0.68552,                0.50144,                0.43997,                0.82828,                0.65625,                0.51864,                0.84344,                 1.4678,                 1.3985,                 1.2195,             0.00052712,             0.00052712,             0.00052712
                     54,                0.76847,                 1.2724,                 1.4028,                 1.1659,                0.55351,                0.79125,                0.71492,                0.51473,                0.52693,                0.75421,                 0.6882,                0.53993,                0.90942,                  1.416,                 1.3572,                 1.2594,             0.00050944,             0.00050944,             0.00050944
                     55,                0.81922,                 1.3275,                 1.4794,                 1.1774,                0.64188,                0.89878,                0.77438,                0.60816,                0.62856,                0.85162,                0.74769,                0.58433,                0.91709,                 1.4773,                 1.3456,                 1.2801,             0.00049175,             0.00049175,             0.00049175
                     56,                0.72098,                 1.2135,                 1.3902,                 1.0973,                0.69083,                0.81619,                0.76635,                0.60873,                0.68881,                0.80037,                0.74812,                0.59419,                0.87168,                 1.3982,                 1.3708,                 1.2368,             0.00047407,             0.00047407,             0.00047407
