                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.03056,                0.44738,                      1,                 0.0637,              0.0033328,              0.0033328,              0.0033328
                      2,                0.02499,                0.47115,                      1,                0.06455,              0.0066001,              0.0066001,              0.0066001
                      3,                0.01647,                0.47676,                      1,                0.06511,              0.0098014,              0.0098014,              0.0098014
                      4,                0.00607,                0.50881,                      1,                0.06373,               0.009703,               0.009703,               0.009703
                      5,                0.00211,                0.45673,                      1,                  0.067,               0.009703,               0.009703,               0.009703
                      6,                0.00114,                0.52804,                      1,                0.06329,               0.009604,               0.009604,               0.009604
                      7,                0.00057,                0.53499,                      1,                0.06246,               0.009505,               0.009505,               0.009505
                      8,                0.00075,                0.55636,                      1,                 0.0614,               0.009406,               0.009406,               0.009406
                      9,                0.00036,                0.58387,                      1,                0.05982,               0.009307,               0.009307,               0.009307
                     10,                0.00021,                0.57372,                      1,                0.06022,               0.009208,               0.009208,               0.009208
                     11,                0.00014,                0.52163,                      1,                0.06343,               0.009109,               0.009109,               0.009109
                     12,                0.00013,                0.55182,                      1,                0.06189,                0.00901,                0.00901,                0.00901
                     13,                0.00014,                0.57452,                      1,                0.05995,               0.008911,               0.008911,               0.008911
                     14,                  8e-05,                0.54541,                      1,                0.06224,               0.008812,               0.008812,               0.008812
                     15,                0.00017,                0.54407,                      1,                0.06221,               0.008713,               0.008713,               0.008713
                     16,                0.00029,                0.53819,                      1,                 0.0625,               0.008614,               0.008614,               0.008614
                     17,                  6e-05,                0.57131,                      1,                0.06051,               0.008515,               0.008515,               0.008515
                     18,                0.00012,                0.54915,                      1,                0.06164,               0.008416,               0.008416,               0.008416
                     19,                0.00011,                0.55208,                      1,                0.06155,               0.008317,               0.008317,               0.008317
                     20,                0.00014,                0.56464,                      1,                0.06081,               0.008218,               0.008218,               0.008218
                     21,                0.00016,                0.52778,                      1,                0.06313,               0.008119,               0.008119,               0.008119
                     22,                  7e-05,                0.53713,                      1,                0.06249,                0.00802,                0.00802,                0.00802
                     23,                  4e-05,                0.54834,                      1,                0.06201,               0.007921,               0.007921,               0.007921
                     24,                  1e-05,                0.56384,                      1,                0.06102,               0.007822,               0.007822,               0.007822
                     25,                  2e-05,                0.55262,                      1,                 0.0616,               0.007723,               0.007723,               0.007723
                     26,                  1e-05,                0.56944,                      1,                0.06051,               0.007624,               0.007624,               0.007624
                     27,                  2e-05,                0.55849,                      1,                0.06132,               0.007525,               0.007525,               0.007525
                     28,                  1e-05,                0.54621,                      1,                0.06186,               0.007426,               0.007426,               0.007426
                     29,                  1e-05,                0.55636,                      1,                0.06111,               0.007327,               0.007327,               0.007327
                     30,                  1e-05,                 0.5601,                      1,                0.06128,               0.007228,               0.007228,               0.007228
                     31,                  1e-05,                0.54567,                      1,                0.06241,               0.007129,               0.007129,               0.007129
                     32,                  1e-05,                0.53793,                      1,                0.06244,                0.00703,                0.00703,                0.00703
                     33,                  1e-05,                 0.5422,                      1,                0.06205,               0.006931,               0.006931,               0.006931
                     34,                  1e-05,                0.53793,                      1,                0.06229,               0.006832,               0.006832,               0.006832
                     35,                  1e-05,                0.53873,                      1,                0.06238,               0.006733,               0.006733,               0.006733
                     36,                  1e-05,                0.54193,                      1,                0.06206,               0.006634,               0.006634,               0.006634
                     37,                  1e-05,                 0.5438,                      1,                0.06196,               0.006535,               0.006535,               0.006535
                     38,                  1e-05,                0.54995,                      1,                0.06175,               0.006436,               0.006436,               0.006436
                     39,                  1e-05,                0.54247,                      1,                0.06199,               0.006337,               0.006337,               0.006337
                     40,                  1e-05,                0.54514,                      1,                0.06197,               0.006238,               0.006238,               0.006238
                     41,                  1e-05,                0.55182,                      1,                0.06162,               0.006139,               0.006139,               0.006139
                     42,                  1e-05,                0.54915,                      1,                0.06172,                0.00604,                0.00604,                0.00604
                     43,                  1e-05,                0.55075,                      1,                0.06166,               0.005941,               0.005941,               0.005941
                     44,                  1e-05,                0.55315,                      1,                0.06152,               0.005842,               0.005842,               0.005842
                     45,                  1e-05,                0.55609,                      1,                0.06125,               0.005743,               0.005743,               0.005743
                     46,                      0,                0.55796,                      1,                 0.0613,               0.005644,               0.005644,               0.005644
                     47,                      0,                0.55662,                      1,                0.06143,               0.005545,               0.005545,               0.005545
                     48,                      0,                0.55502,                      1,                0.06148,               0.005446,               0.005446,               0.005446
                     49,                  1e-05,                0.55182,                      1,                0.06162,               0.005347,               0.005347,               0.005347
                     50,                  1e-05,                0.55315,                      1,                0.06158,               0.005248,               0.005248,               0.005248
                     51,                      0,                0.55075,                      1,                0.06166,               0.005149,               0.005149,               0.005149
                     52,                      0,                0.55262,                      1,                0.06157,                0.00505,                0.00505,                0.00505
                     53,                      0,                0.55449,                      1,                0.06153,               0.004951,               0.004951,               0.004951
                     54,                      0,                0.55475,                      1,                0.06155,               0.004852,               0.004852,               0.004852
                     55,                      0,                0.55449,                      1,                0.06159,               0.004753,               0.004753,               0.004753
                     56,                      0,                0.55609,                      1,                0.06158,               0.004654,               0.004654,               0.004654
                     57,                  1e-05,                0.55636,                      1,                0.06149,               0.004555,               0.004555,               0.004555
                     58,                      0,                0.55556,                      1,                0.06157,               0.004456,               0.004456,               0.004456
                     59,                  1e-05,                0.55582,                      1,                0.06156,               0.004357,               0.004357,               0.004357
